WiFi Sensor,Time,Temperature (∞C)
8595,11/02/2016 14:10:02,18.6
8596,11/02/2016 14:10:12,18.6
8597,11/02/2016 14:10:22,18.5
8598,11/02/2016 14:10:32,18.4
8599,11/02/2016 14:10:42,18.5
8600,11/02/2016 14:10:52,18.5
8601,11/02/2016 14:11:02,18.1
8602,11/02/2016 14:11:12,24
8603,11/02/2016 14:11:22,26.2
8604,11/02/2016 14:11:32,27.3
8605,11/02/2016 14:11:42,27.5
8606,11/02/2016 14:11:52,27.5
8607,11/02/2016 14:12:02,27.5
8608,11/02/2016 14:12:12,27.5
8609,11/02/2016 14:12:22,27.4
8610,11/02/2016 14:12:32,27.3
8611,11/02/2016 14:12:42,27.3
8612,11/02/2016 14:12:52,27.2
8613,11/02/2016 14:13:02,27.2
8614,11/02/2016 14:13:12,27.1
8615,11/02/2016 14:13:22,27.1
8616,11/02/2016 14:13:32,27.1
8617,11/02/2016 14:13:42,27
8618,11/02/2016 14:13:52,27
8619,11/02/2016 14:14:02,27
8620,11/02/2016 14:14:12,27
8621,11/02/2016 14:14:22,26.9
8622,11/02/2016 14:14:32,26.9
8623,11/02/2016 14:14:42,26.9
8624,11/02/2016 14:14:52,26.9
8625,11/02/2016 14:15:02,26.9
8626,11/02/2016 14:15:12,27
8627,11/02/2016 14:15:22,26.9
8628,11/02/2016 14:15:32,26.9
8629,11/02/2016 14:15:42,26.8
8630,11/02/2016 14:15:52,26.8
8631,11/02/2016 14:16:02,26.9
8632,11/02/2016 14:16:12,26.9
8633,11/02/2016 14:16:22,26.8
8634,11/02/2016 14:16:32,26.8
8635,11/02/2016 14:16:42,26.8
8636,11/02/2016 14:16:52,26.8
8637,11/02/2016 14:17:02,26.8
8638,11/02/2016 14:17:12,26.8
8639,11/02/2016 14:17:22,26.8
8640,11/02/2016 14:17:32,26.8
8641,11/02/2016 14:17:42,26.8
8642,11/02/2016 14:17:52,26.9
8643,11/02/2016 14:18:02,26.9
8644,11/02/2016 14:18:12,26.9
8645,11/02/2016 14:18:22,26.8
8646,11/02/2016 14:18:32,26.9
8647,11/02/2016 14:18:42,26.8
8648,11/02/2016 14:18:52,26.9
8649,11/02/2016 14:19:02,26.9
8650,11/02/2016 14:19:12,26.9
8651,11/02/2016 14:19:22,26.9
8652,11/02/2016 14:19:32,26.9
8653,11/02/2016 14:19:42,26.9
8654,11/02/2016 14:19:52,26.9
8655,11/02/2016 14:20:02,26.9
8656,11/02/2016 14:20:12,26.9
8657,11/02/2016 14:20:22,26.9
8658,11/02/2016 14:20:32,26.9
8659,11/02/2016 14:20:42,27
8660,11/02/2016 14:20:52,27
8661,11/02/2016 14:21:02,26.9
8662,11/02/2016 14:21:12,27
8663,11/02/2016 14:21:22,26.9
8664,11/02/2016 14:21:32,26.9
8665,11/02/2016 14:21:42,26.9
8666,11/02/2016 14:21:52,27
8667,11/02/2016 14:22:02,27
8668,11/02/2016 14:22:12,27
8669,11/02/2016 14:22:22,27
8670,11/02/2016 14:22:32,27
8671,11/02/2016 14:22:42,27
8672,11/02/2016 14:22:52,27
8673,11/02/2016 14:23:02,27
8674,11/02/2016 14:23:12,27
8675,11/02/2016 14:23:22,27
8676,11/02/2016 14:23:32,27.1
8677,11/02/2016 14:23:41,27.1
8678,11/02/2016 14:23:51,27.1
8679,11/02/2016 14:24:01,27.1
