WiFi Sensor,Time,Temperature (∞C)
1,10/02/2016 14:17:43,18.2
2,10/02/2016 14:17:53,18.3
3,10/02/2016 14:18:03,19.7
4,10/02/2016 14:18:13,21.9
5,10/02/2016 14:18:23,23.2
6,10/02/2016 14:18:33,24.2
7,10/02/2016 14:18:43,24.6
8,10/02/2016 14:18:53,25.1
9,10/02/2016 14:19:03,25.3
10,10/02/2016 14:19:13,25.6
11,10/02/2016 14:19:23,25.7
12,10/02/2016 14:19:33,25.8
13,10/02/2016 14:19:43,25.9
14,10/02/2016 14:19:53,25.9
15,10/02/2016 14:20:03,26
16,10/02/2016 14:20:13,26.1
17,10/02/2016 14:20:23,26
18,10/02/2016 14:20:33,26.1
19,10/02/2016 14:20:43,26.1
20,10/02/2016 14:20:53,26
21,10/02/2016 14:21:03,26.1
22,10/02/2016 14:21:13,26.1
23,10/02/2016 14:21:23,26.1
24,10/02/2016 14:21:33,26.1
25,10/02/2016 14:21:43,26.1
26,10/02/2016 14:21:53,26.2
27,10/02/2016 14:22:03,26.2
28,10/02/2016 14:22:13,26.1
29,10/02/2016 14:22:23,26.1
30,10/02/2016 14:22:33,26.2
31,10/02/2016 14:22:43,26.1
32,10/02/2016 14:22:53,24.9
33,10/02/2016 14:23:03,23.9
34,10/02/2016 14:23:13,23.1
35,10/02/2016 14:23:23,22.9
36,10/02/2016 14:23:33,22.7
37,10/02/2016 14:23:43,22.7
38,10/02/2016 14:23:53,22.6
39,10/02/2016 14:24:03,22.5
40,10/02/2016 14:24:13,22.5
41,10/02/2016 14:24:23,22.4
42,10/02/2016 14:24:33,22.4
43,10/02/2016 14:24:43,22.4
44,10/02/2016 14:24:53,22.5
45,10/02/2016 14:25:03,22.4
46,10/02/2016 14:25:13,22.3
47,10/02/2016 14:25:23,22.2
48,10/02/2016 14:25:33,22.5
49,10/02/2016 14:25:43,22.9
50,10/02/2016 14:25:53,23.4
51,10/02/2016 14:26:03,23.6
52,10/02/2016 14:26:13,23.6
53,10/02/2016 14:26:23,23.8
54,10/02/2016 14:26:33,23.6
55,10/02/2016 14:26:43,23.7
56,10/02/2016 14:26:53,23.5
57,10/02/2016 14:27:03,20.6
58,10/02/2016 14:27:13,27.8
59,10/02/2016 14:27:23,29.5
60,10/02/2016 14:27:33,24.9
61,10/02/2016 14:27:43,22.2
62,10/02/2016 14:27:53,21.1
63,10/02/2016 14:28:03,38.3
64,10/02/2016 14:28:13,55.1
65,10/02/2016 14:28:23,45.8
66,10/02/2016 14:28:33,24.7
67,10/02/2016 14:28:43,23.9
68,10/02/2016 14:28:53,24.5
69,10/02/2016 14:29:03,24.6
70,10/02/2016 14:29:13,24.9
71,10/02/2016 14:29:23,24.8
72,10/02/2016 14:29:33,24.7
73,10/02/2016 14:29:43,24.7
74,10/02/2016 14:29:53,25
75,10/02/2016 14:30:03,25.2
76,10/02/2016 14:30:13,25.5
77,10/02/2016 14:30:23,25.5
78,10/02/2016 14:30:33,25.6
79,10/02/2016 14:30:43,25.5
80,10/02/2016 14:30:53,25.5
81,10/02/2016 14:31:03,24.8
82,10/02/2016 14:31:13,68.8
83,10/02/2016 14:31:23,74
